event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;image
König Ludwig Lauf Sommer;Running;26.09.2026;Oberammergau;Germany;Oberammergau, Germany;47.597344;11.0640664;10 km, Half Marathon;Official local running event in Oberammergau. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.koenig-ludwig-lauf.com;Kilometerliebe Discovery;
Königsforst Marathon Bergisch Gladbach;Ultramarathon;15.03.2026;Bergisch Gladbach;Germany;Bergisch Gladbach, Germany;50.9929303;7.1277379;Half Marathon, Marathon, 63.3 km;Official local running event in Bergisch Gladbach. Distances: Half Marathon, Marathon, 63.3 km. Discovered via Kilometerliebe and linked to the official event website.;https://koenigsforst-marathon.de/;Kilometerliebe Discovery;
Königsschlösser Marathon;Running;25.07.2026;Füssen;Germany;Füssen, Germany;47.5675998;10.6993217;10 km, Half Marathon, Marathon;Official local running event in Füssen. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.laufwochenende-fuessen.de;Kilometerliebe Discovery;
Küstenkanallauf;Running;04.07.2026;Friesoythe/Kampe;Germany;Friesoythe/Kampe, Germany;53.0820556;7.8356653;10 km, Half Marathon;Official local running event in Friesoythe/Kampe. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.kc-ikenbruegge.de;Kilometerliebe Discovery;
Kulkiathlon;Ultramarathon;07.06.2026;Markranstädt;Germany;Markranstädt, Germany;51.3026177;12.2204644;72 km;Official local running event in Markranstädt. Distances: 72 km. Discovered via Kilometerliebe and linked to the official event website.;https://kulkiathlon.com/;Kilometerliebe Discovery;
Kyffhäuser Berglauf mit Berg-Marathon;Running;18.04.2026;Bad Frankenhausen;Germany;Bad Frankenhausen, Germany;51.3560142;11.1005235;10 km, Half Marathon, Marathon;Official local running event in Bad Frankenhausen. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;http://www.kyffhaeuser-berglauf.de;Kilometerliebe Discovery;
Lahnparklauf;Running;30.08.2026;Wetzlar;Germany;Wetzlar, Germany;50.570561;8.531245;5 km, 10 km, Half Marathon;Official local running event in Wetzlar. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://team-naunheim.com/lahnparklauf;Kilometerliebe Discovery;
LaminatDEPOT-Lauf Velbert;Running;05.07.2026;Velbert;Germany;Velbert, Germany;51.3406713;7.0439912;10 km;Official local running event in Velbert. Distances: 10 km. Discovered via Kilometerliebe and linked to the official event website.;https://laminatdepot-lauf.de/;Kilometerliebe Discovery;
Leipzig Marathon;Running;19.04.2026;Leipzig;Germany;Leipzig, Germany;51.3406321;12.3747329;5 km, 10 km, Half Marathon, Marathon;Official local running event in Leipzig. Distances: 5 km, 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.leipzigmarathon.de;Kilometerliebe Discovery;
Leipzig RUN;Running;11.10.2026;Leipzig;Germany;Leipzig, Germany;51.3406321;12.3747329;10 km, Half Marathon;Official local running event in Leipzig. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.maximalpuls.com/events/leipzig-run;Kilometerliebe Discovery;
LGV Frühjahrlauf Gießen;Running;08.03.2026;Gießen;Germany;Gießen, Germany;50.5862066;8.6742306;5 km, 10 km, Half Marathon;Official local running event in Gießen. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://lgv-marathon.de/fruehjahrslauf/;Kilometerliebe Discovery;
Lipperland Marathon;Running;21.11.2026;Dörentrup;Germany;Dörentrup, Germany;52.0408142;9.0033681;10 km, Half Marathon, Marathon;Official local running event in Dörentrup. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.lipperland-marathon.de;Kilometerliebe Discovery;
